Country,Region,Subregion,population,area_km2,density
Morocco,Africa,Northern Africa,38081173,710850.0,53.0
Mozambique,Africa,Sub-Saharan Africa,34631766,786380.0,44.0
Myanmar,Asia,South-eastern Asia,54500091,652670.0,84.0
Namibia,Africa,Sub-Saharan Africa,3030131,823290.0,3.7
Nauru,Oceania,Micronesia,11947,20.0,597.0
Nepal,Asia,Southern Asia,29651055,143350.0,207.0
Netherlands,Europe,Western Europe,18080943,33670.0,541.0
New Caledonia,Oceania,Melanesia,292640,18280.0,16.0
New Zealand,Oceania,Australia and New Zealand,5213944,263310.0,20.0
Nicaragua,Americas,Latin America and the Caribbean,6916140,120340.0,57.0
Niger,Africa,Sub-Saharan Africa,27032413,1266700.0,21.0
Nigeria,Africa,Sub-Saharan Africa,232679478,910770.0,255.0
Niue,Oceania,Polynesia,1819,260.0,7.0
Norfolk Island,Oceania,Australia and New Zealand,2188,36.0,61.0
North Macedonia,Europe,Southern Europe,1823009,25220.0,72.0
Northern Mariana Islands,Oceania,Micronesia,44278,460.0,96.0
Norway,Europe,Northern Europe,5576660,364270.0,15.0
Oman,Asia,Western Asia,5281538,309500.0,17.0
Pakistan,Asia,Southern Asia,255300000,882363.0,289.0
Palau,Oceania,Micronesia,17696,460.0,38.0
Panama,Americas,Latin America and the Caribbean,4515577,74180.0,61.0
Papua New Guinea,Oceania,Melanesia,10576502,452860.0,23.0
Paraguay,Americas,Latin America and the Caribbean,6929153,396012.0,17.0
Peru,Americas,Latin America and the Caribbean,34217848,1280000.0,27.0
Philippines,Asia,South-eastern Asia,115843670,298170.0,389.0
Pitcairn,Oceania,Polynesia,40,47.0,0.85
Poland,Europe,Eastern Europe,38539201,306090.0,126.0
Portugal,Europe,Southern Europe,10425293,91606.0,114.0
Puerto Rico,Americas,Latin America and the Caribbean,3242204,8870.0,366.0
Qatar,Asia,Western Asia,3048423,11490.0,265.0
Republic of Moldova,Europe,Eastern Europe,3034961,32890.0,92.0
Romania,Europe,Eastern Europe,19015088,230080.0,83.0
Russian Federation,Europe,Eastern Europe,144820423,16376870.0,8.8
Rwanda,Africa,Sub-Saharan Africa,14256567,24670.0,578.0
Saint Barthélemy,Americas,Latin America and the Caribbean,11258,20.0,563.0
"Saint Helena, Ascension and Tristan da Cunha",Africa,Sub-Saharan Africa,5238,390.0,13.0
Saint Kitts and Nevis,Americas,Latin America and the Caribbean,46843,260.0,180.0
Saint Lucia,Americas,Latin America and the Caribbean,179744,610.0,295.0
Saint Martin (French part),Americas,Latin America and the Caribbean,26129,50.0,523.0
Saint Pierre and Miquelon,Americas,Northern America,5628,230.0,24.0
Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,100616,390.0,258.0
Samoa,Oceania,Polynesia,218020,2780.0,78.0
San Marino,Europe,Southern Europe,33581,60.0,560.0
Sao Tome and Principe,Africa,Sub-Saharan Africa,235537,960.0,245.0
Saudi Arabia,Asia,Western Asia,33962757,2149690.0,16.0
Senegal,Africa,Sub-Saharan Africa,18501985,192530.0,96.0
Serbia,Europe,Southern Europe,6567783,88499.0,85.0
Seychelles,Africa,Sub-Saharan Africa,130419,460.0,284.0
Sierra Leone,Africa,Sub-Saharan Africa,8642023,72180.0,120.0
Singapore,Asia,South-eastern Asia,6110200,737.0,8290.0
Sint Maarten,Americas,Latin America and the Caribbean,43351,34.0,1275.0
Slovakia,Europe,Eastern Europe,5506760,48080.0,115.0
Slovenia,Europe,Southern Europe,2118697,20136.0,105.0
Solomon Islands,Oceania,Melanesia,819198,27990.0,29.0
Somalia,Africa,Sub-Saharan Africa,19009151,627340.0,30.0
South Africa,Africa,Sub-Saharan Africa,64007187,1213090.0,53.0
South Sudan,Africa,Sub-Saharan Africa,11943409,631930.0,19.0
Spain,Europe,Southern Europe,49315949,499714.0,96.0
Sri Lanka,Asia,Southern Asia,23103565,61860.0,373.0
State of Palestine,Asia,Western Asia,5371230,6020.0,892.0
